"current_category";"current_subcategory";"current_subcategory2";"base_item_name";"sample_item_id";"sample_display_name";"corrected_category";"corrected_subcategory";"corrected_subcategory2";"category_sort_order";"subcategory_sort_order";"item_sort_order";"notes"
"Capes";"";"";"Corrupted Preacher's Cape";"UNIQUE_CAPE_VANITY_CORRUPTED_PREACHER";"[T0] Corrupted Preacher's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Cryomancer's Cape";"UNIQUE_CAPE_VANITY_FROSTMAGE";"[T0] Cryomancer's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Crystal Gladiator Cape";"UNIQUE_CAPE_VANITY_GLADIATOR_CRYSTAL";"[T0] Crystal Gladiator Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Keeper Cloth Cape";"T6_CAPE_CLOTH_KEEPER";"[T6] Decorative Keeper Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Keeper Leather Cape";"T6_CAPE_LEATHER_KEEPER";"[T6] Decorative Keeper Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Keeper Platemail Cape";"T6_CAPE_PLATE_KEEPER";"[T6] Decorative Keeper Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Morgana Cloth Cape";"T6_CAPE_CLOTH_MORGANA";"[T6] Decorative Morgana Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Morgana Leather Cape";"T6_CAPE_LEATHER_MORGANA";"[T6] Decorative Morgana Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Morgana Platemail Cape";"T6_CAPE_PLATE_MORGANA";"[T6] Decorative Morgana Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Undead Cloth Cape";"T6_CAPE_CLOTH_UNDEAD";"[T6] Decorative Undead Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Undead Leather Cape";"T6_CAPE_LEATHER_UNDEAD";"[T6] Decorative Undead Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Decorative Undead Platemail Cape";"T6_CAPE_PLATE_UNDEAD";"[T6] Decorative Undead Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Demon Cape";"T4_CAPEITEM_DEMON";"[T4] Adept's Demon Cape";"";"";"";"";"";"";""
"Capes";"";"";"Demon Crest";"T4_CAPEITEM_DEMON_BP";"[T4] Adept's Demon Crest";"";"";"";"";"";"";""
"Capes";"";"";"Demon Hunter's Cape";"UNIQUE_CAPE_VANITY_DEMONHUNTER";"[T0] Demon Hunter's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Demonic Warrior's Cape";"UNIQUE_CAPE_VANITY_DEMONICWARRIOR";"[T0] Demonic Warrior's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Druid's Cape";"UNIQUE_CAPE_VANITY_DRUID";"[T0] Druid's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Duelist's Cape";"UNIQUE_CAPE_VANITY_DUELIST";"[T0] Duelist's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Elite Green Knight's Cape";"UNIQUE_CAPE_VANITY_KNIGHT_GREEN_ELITE";"[T0] Elite Green Knight's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Faction Legionnaire's Cape";"UNIQUE_CAPE_VANITY_FW_SOLDIER_PLATE";"[T0] Faction Legionnaire's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Fort Sterling Cape";"T4_CAPEITEM_FW_FORTSTERLING";"[T4] Adept's Fort Sterling Cape";"";"";"";"";"";"";""
"Capes";"";"";"Fort Sterling Crest";"T4_CAPEITEM_FW_FORTSTERLING_BP";"[T4] Adept's Fort Sterling Crest";"";"";"";"";"";"";""
"Capes";"";"";"Frost Knight's Cape";"UNIQUE_CAPE_VANITY_FROSTKNIGHT";"[T0] Frost Knight's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Green Knight's Cape";"UNIQUE_CAPE_VANITY_KNIGHT_GREEN";"[T0] Green Knight's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Groom's Cape";"UNIQUE_CAPE_VANITY_WEDDING_TUXEDO";"[T0] Groom's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Harbinger's Staff and Cape";"UNIQUE_CAPE_VANITY_DARK_SORCERER";"[T0] Harbinger's Staff and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Heretic Cape";"T4_CAPEITEM_HERETIC";"[T4] Adept's Heretic Cape";"";"";"";"";"";"";""
"Capes";"";"";"Heretic Crest";"T4_CAPEITEM_HERETIC_BP";"[T4] Adept's Heretic Crest";"";"";"";"";"";"";""
"Capes";"";"";"Hyena Cape";"UNIQUE_CAPE_VANITY_HYENA";"[T0] Hyena Cape";"";"";"";"";"";"";""
"Capes";"";"";"Keeper Cape";"T4_CAPEITEM_KEEPER";"[T4] Adept's Keeper Cape";"";"";"";"";"";"";""
"Capes";"";"";"Keeper Crest";"T4_CAPEITEM_KEEPER_BP";"[T4] Adept's Keeper Crest";"";"";"";"";"";"";""
"Capes";"";"";"Keeper of Souls Cape";"UNIQUE_CAPE_VANITY_SOULKEEPER";"[T0] Keeper of Souls Cape";"";"";"";"";"";"";""
"Capes";"";"";"Knight Adventurer's Cape";"UNIQUE_CAPE_VANITY_KNIGHT";"[T0] Knight Adventurer's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Knight Adventurer's Heraldic Cape";"UNIQUE_CAPE_VANITY_KNIGHT_GUILD_COLORED";"[T0] Knight Adventurer's Heraldic Cape";"";"";"";"";"";"";""
"Capes";"";"";"Legendary Adventurer's Cloak";"UNIQUE_CAPE_STARTERPACK_LEGENDARY";"[T0] Legendary Adventurer's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Legendary Explorer's Cloak";"UNIQUE_CAPE_FOUNDER_LEGENDARY";"[T0] Legendary Explorer's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Lymhurst Cape";"T4_CAPEITEM_FW_LYMHURST";"[T4] Adept's Lymhurst Cape";"";"";"";"";"";"";""
"Capes";"";"";"Lymhurst Crest";"T4_CAPEITEM_FW_LYMHURST_BP";"[T4] Adept's Lymhurst Crest";"";"";"";"";"";"";""
"Capes";"";"";"Mage Adventurer's Cape";"UNIQUE_CAPE_VANITY_MAGE";"[T0] Mage Adventurer's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Mage Adventurer's Heraldic Cape";"UNIQUE_CAPE_VANITY_MAGE_GUILD_COLORED";"[T0] Mage Adventurer's Heraldic Cape";"";"";"";"";"";"";""
"Capes";"";"";"Martlock Cape";"T4_CAPEITEM_FW_MARTLOCK";"[T4] Adept's Martlock Cape";"";"";"";"";"";"";""
"Capes";"";"";"Martlock Crest";"T4_CAPEITEM_FW_MARTLOCK_BP";"[T4] Adept's Martlock Crest";"";"";"";"";"";"";""
"Capes";"";"";"Master of Bats Cape";"UNIQUE_CAPE_TELLAFRIEND_BATRIDER";"[T0] Master of Bats Cape";"";"";"";"";"";"";""
"Capes";"";"";"Master of Fists Scroll";"UNIQUE_CAPE_VANITY_MONK";"[T0] Master of Fists Scroll";"";"";"";"";"";"";""
"Capes";"";"";"Morgana Cape";"T4_CAPEITEM_MORGANA";"[T4] Adept's Morgana Cape";"";"";"";"";"";"";""
"Capes";"";"";"Morgana Crest";"T4_CAPEITEM_MORGANA_BP";"[T4] Adept's Morgana Crest";"";"";"";"";"";"";""
"Capes";"";"";"Noble Knight's Cape";"UNIQUE_CAPE_VANITY_KNIGHT_AOCP";"[T0] Noble Knight's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Ogronios Banner";"UNIQUE_CAPE_TELLAFRIEND_BANNER_02";"[T0] Ogronios Banner";"";"";"";"";"";"";""
"Capes";"";"";"Paladin's Cape";"UNIQUE_CAPE_VANITY_PALADIN";"[T0] Paladin's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Paladin's Heraldic Cape";"UNIQUE_CAPE_VANITY_PALADIN_GUILD_COLORED";"[T0] Paladin's Heraldic Cape";"";"";"";"";"";"";""
"Capes";"";"";"Paragon's Sword and Cape";"UNIQUE_CAPE_VANITY_WARRIOR_KING";"[T0] Paragon's Sword and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Priest's Cape";"UNIQUE_CAPE_VANITY_PRIEST_HOLY";"[T0] Priest's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Pyromancer's Cape";"UNIQUE_CAPE_VANITY_FIREMAGE";"[T0] Pyromancer's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Ragged Cape";"UNIQUE_CAPE_VANITY_SKELETON";"[T0] Ragged Cape";"";"";"";"";"";"";""
"Capes";"";"";"Ragged Undead Cape";"UNIQUE_CAPE_VANITY_SKELETON_UNDEAD";"[T0] Ragged Undead Cape";"";"";"";"";"";"";""
"Capes";"";"";"Ranger's Cape";"UNIQUE_CAPE_VANITY_RANGER";"[T0] Ranger's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Reaver's Cape";"UNIQUE_CAPE_VANITY_MARAUDER";"[T0] Reaver's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Banner";"UNIQUE_CAPE_TELLAFRIEND_BANNER";"[T0] Recruiter's Banner";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Cape";"UNIQUE_CAPE_TELLAFRIEND";"[T0] Recruiter's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Cape - Rottweiler";"UNIQUE_CAPE_BLOODHOUND_TELLAFRIEND";"[T0] Recruiter's Cape - Rottweiler";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Cape - Toad";"UNIQUE_CAPE_TOAD_TELLAFRIEND";"[T0] Recruiter's Cape - Toad";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Fur Cape";"UNIQUE_CAPE_RAM_TELLAFRIEND";"[T0] Recruiter's Fur Cape";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Grey Wolf Cape";"UNIQUE_CAPE_WOLF_GREY_TELLAFRIEND";"[T0] Recruiter's Grey Wolf Cape";"";"";"";"";"";"";""
"Capes";"";"";"Recruiter's Tiger Cape";"UNIQUE_CAPE_TIGER_TELLAFRIEND";"[T0] Recruiter's Tiger Cape";"";"";"";"";"";"";""
"Capes";"";"";"Riuros Cape";"UNIQUE_CAPE_TELLAFRIEND_02";"[T0] Riuros Cape";"";"";"";"";"";"";""
"Capes";"";"";"Rogue Adventurer's Cape";"UNIQUE_CAPE_VANITY_ROGUE";"[T0] Rogue Adventurer's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Rogue Adventurer's Heraldic Cape";"UNIQUE_CAPE_VANITY_ROGUE_GUILD_COLORED";"[T0] Rogue Adventurer's Heraldic Cape";"";"";"";"";"";"";""
"Capes";"";"";"Sea Captain's Spyglass";"UNIQUE_CAPE_VANITY_FOUNDER_ASIA_CRYSTAL";"[T0] Sea Captain's Spyglass";"";"";"";"";"";"";""
"Capes";"";"";"Seafarer's Harpoon";"UNIQUE_CAPE_VANITY_FOUNDER_ASIA_GOLD";"[T0] Seafarer's Harpoon";"";"";"";"";"";"";""
"Capes";"";"";"Smuggler Cape";"T4_CAPEITEM_SMUGGLER";"[T4] Adept's Smuggler Cape";"";"";"";"";"";"";""
"Capes";"";"";"Smuggler Crest";"T4_CAPEITEM_SMUGGLER_BP";"[T4] Adept's Smuggler Crest";"";"";"";"";"";"";""
"Capes";"";"";"Smuggler's Cloak";"UNIQUE_CAPE_VANITY_SMUGGLER";"[T0] Smuggler's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Snow Leopard Cape";"UNIQUE_CAPE_VANITY_SNOWLEOPARD";"[T0] Snow Leopard Cape";"";"";"";"";"";"";""
"Capes";"";"";"Swampstrider's Cape";"UNIQUE_CAPE_VANITY_PRIEST_DARK_SWAMP";"[T0] Swampstrider's Cape";"";"";"";"";"";"";""
"Capes";"";"";"T4_DEBUG_CAPE_HIDDEN";"T4_DEBUG_CAPE_HIDDEN";"[T4] T4_DEBUG_CAPE_HIDDEN";"";"";"";"";"";"";""
"Capes";"";"";"Thetford Cape";"T4_CAPEITEM_FW_THETFORD";"[T4] Adept's Thetford Cape";"";"";"";"";"";"";""
"Capes";"";"";"Thetford Crest";"T4_CAPEITEM_FW_THETFORD_BP";"[T4] Adept's Thetford Crest";"";"";"";"";"";"";""
"Capes";"";"";"Titan's Cape";"UNIQUE_CAPE_VANITY_TITAN";"[T0] Titan's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Tracker's Spear";"UNIQUE_CAPE_VANITY_TRACKER";"[T0] Tracker's Spear";"";"";"";"";"";"";""
"Capes";"";"";"Undead Cape";"T4_CAPEITEM_UNDEAD";"[T4] Adept's Undead Cape";"";"";"";"";"";"";""
"Capes";"";"";"Undead Crest";"T4_CAPEITEM_UNDEAD_BP";"[T4] Adept's Undead Crest";"";"";"";"";"";"";""
"Capes";"";"";"UNIQUE_CAPE_VANITY_ALCHEMIST_ANNIVERSARY";"UNIQUE_CAPE_VANITY_ALCHEMIST_ANNIVERSARY";"[T0] UNIQUE_CAPE_VANITY_ALCHEMIST_ANNIVERSARY";"";"";"";"";"";"";""
"Capes";"";"";"UNIQUE_CAPE_VANITY_CORRUPTED_PREACHER_ANNIVERSARY";"UNIQUE_CAPE_VANITY_CORRUPTED_PREACHER_ANNIVERSARY";"[T0] UNIQUE_CAPE_VANITY_CORRUPTED_PREACHER_ANNIVERSARY";"";"";"";"";"";"";""
"Capes";"";"";"UNIQUE_CAPE_VANITY_MARAUDER_ANNIVERSARY";"UNIQUE_CAPE_VANITY_MARAUDER_ANNIVERSARY";"[T0] UNIQUE_CAPE_VANITY_MARAUDER_ANNIVERSARY";"";"";"";"";"";"";""
"Capes";"";"";"UNIQUE_CAPE_VANITY_VALKYRIE";"UNIQUE_CAPE_VANITY_VALKYRIE";"[T0] UNIQUE_CAPE_VANITY_VALKYRIE";"";"";"";"";"";"";""
"Capes";"";"";"UNIQUE_UNLOCK_CAPE_VANITY_FW_SOLDIER_PLATE";"UNIQUE_UNLOCK_CAPE_VANITY_FW_SOLDIER_PLATE";"[T0] UNIQUE_UNLOCK_CAPE_VANITY_FW_SOLDIER_PLATE";"";"";"";"";"";"";""
"Capes";"";"";"Warden's Axe";"UNIQUE_CAPE_VANITY_KICKSTART_2024";"[T0] Warden's Axe";"";"";"";"";"";"";""
"Capes";"";"";"Warden's Legendary Axe";"UNIQUE_CAPE_VANITY_KICKSTART_2024_UPGRADE";"[T0] Warden's Legendary Axe";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Arena Gladiator Cape";"UNIQUE_UNLOCK_CAPE_VANITY_GLADIATOR_ARENA";"[T0] Wardrobe Skin: Arena Gladiator Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Arena Veteran's Cape";"UNIQUE_UNLOCK_CAPE_VANITY_ARENA_SET_01";"[T0] Wardrobe Skin: Arena Veteran's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Champion's Sword and Cape";"UNIQUE_UNLOCK_CAPE_VANITY_WARRIOR_KNIGHT";"[T0] Wardrobe Skin: Champion's Sword and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Crystal Gladiator Cape";"UNIQUE_UNLOCK_CAPE_VANITY_GLADIATOR_CRYSTAL";"[T0] Wardrobe Skin: Crystal Gladiator Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Keeper Cloth Cape";"UNIQUE_UNLOCK_T6_CAPE_CLOTH_KEEPER";"[T0] Wardrobe Skin: Decorative Keeper Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Keeper Leather Cape";"UNIQUE_UNLOCK_T6_CAPE_LEATHER_KEEPER";"[T0] Wardrobe Skin: Decorative Keeper Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Keeper Platemail Cape";"UNIQUE_UNLOCK_T6_CAPE_PLATE_KEEPER";"[T0] Wardrobe Skin: Decorative Keeper Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Morgana Cloth Cape";"UNIQUE_UNLOCK_T6_CAPE_CLOTH_MORGANA";"[T0] Wardrobe Skin: Decorative Morgana Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Morgana Leather Cape";"UNIQUE_UNLOCK_T6_CAPE_LEATHER_MORGANA";"[T0] Wardrobe Skin: Decorative Morgana Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Morgana Platemail Cape";"UNIQUE_UNLOCK_T6_CAPE_PLATE_MORGANA";"[T0] Wardrobe Skin: Decorative Morgana Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Undead Cloth Cape";"UNIQUE_UNLOCK_T6_CAPE_CLOTH_UNDEAD";"[T0] Wardrobe Skin: Decorative Undead Cloth Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Undead Leather Cape";"UNIQUE_UNLOCK_T6_CAPE_LEATHER_UNDEAD";"[T0] Wardrobe Skin: Decorative Undead Leather Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Decorative Undead Platemail Cape";"UNIQUE_UNLOCK_T6_CAPE_PLATE_UNDEAD";"[T0] Wardrobe Skin: Decorative Undead Platemail Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Groom's Cape";"UNIQUE_UNLOCK_CAPE_VANITY_WEDDING_TUXEDO";"[T0] Wardrobe Skin: Groom's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Harbinger's Staff and Cape";"UNIQUE_UNLOCK_CAPE_VANITY_DARK_SORCERER";"[T0] Wardrobe Skin: Harbinger's Staff and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Hyena Cape";"UNIQUE_UNLOCK_CAPE_VANITY_HYENA_NON_TRADABLE";"[T0] Wardrobe Skin: Hyena Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Large Arena Banner";"UNIQUE_UNLOCK_T8_CAPE_ARENA_BANNER";"[T0] Wardrobe Skin: Large Arena Banner";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Legendary Adventurer's Cloak";"UNIQUE_UNLOCK_CAPE_STARTERPACK_LEGENDARY";"[T0] Wardrobe Skin: Legendary Adventurer's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Legendary Explorer's Cloak";"UNIQUE_UNLOCK_CAPE_FOUNDER_LEGENDARY";"[T0] Wardrobe Skin: Legendary Explorer's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Master of Bats Cape";"UNIQUE_UNLOCK_CAPE_TELLAFRIEND_BATRIDER";"[T0] Wardrobe Skin: Master of Bats Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Medium Arena Banner";"UNIQUE_UNLOCK_T6_CAPE_ARENA_BANNER";"[T0] Wardrobe Skin: Medium Arena Banner";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Noble Knight's Cape";"UNIQUE_UNLOCK_CAPE_VANITY_KNIGHT_AOCP_NON_TRADABLE";"[T0] Wardrobe Skin: Noble Knight's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Ogronios Banner";"UNIQUE_UNLOCK_CAPE_TELLAFRIEND_BANNER_02";"[T0] Wardrobe Skin: Ogronios Banner";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Paragon's Sword and Cape";"UNIQUE_UNLOCK_CAPE_VANITY_WARRIOR_KING";"[T0] Wardrobe Skin: Paragon's Sword and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Ragged Cape";"UNIQUE_UNLOCK_CAPE_VANITY_SKELETON";"[T0] Wardrobe Skin: Ragged Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Ragged Undead Cape";"UNIQUE_UNLOCK_CAPE_VANITY_SKELETON_UNDEAD";"[T0] Wardrobe Skin: Ragged Undead Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Banner";"UNIQUE_UNLOCK_CAPE_TELLAFRIEND_BANNER";"[T0] Wardrobe Skin: Recruiter's Banner";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Cape";"UNIQUE_UNLOCK_CAPE_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Cape - Rottweiler";"UNIQUE_UNLOCK_CAPE_BLOODHOUND_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Cape - Rottweiler";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Cape - Toad";"UNIQUE_UNLOCK_CAPE_TOAD_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Cape - Toad";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Fur Cape";"UNIQUE_UNLOCK_CAPE_RAM_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Fur Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Grey Wolf Cape";"UNIQUE_UNLOCK_CAPE_WOLF_GREY_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Grey Wolf Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Recruiter's Tiger Cape";"UNIQUE_UNLOCK_CAPE_TIGER_TELLAFRIEND";"[T0] Wardrobe Skin: Recruiter's Tiger Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Riuros Cape";"UNIQUE_UNLOCK_CAPE_TELLAFRIEND_02";"[T0] Wardrobe Skin: Riuros Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Sea Captain's Spyglass";"UNIQUE_UNLOCK_CAPE_VANITY_FOUNDER_ASIA_CRYSTAL";"[T0] Wardrobe Skin: Sea Captain's Spyglass";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Seafarer's Harpoon";"UNIQUE_UNLOCK_CAPE_VANITY_FOUNDER_ASIA_GOLD";"[T0] Wardrobe Skin: Seafarer's Harpoon";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Small Arena Banner";"UNIQUE_UNLOCK_T4_CAPE_ARENA_BANNER";"[T0] Wardrobe Skin: Small Arena Banner";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Smuggler's Cloak";"UNIQUE_UNLOCK_CAPE_VANITY_SMUGGLER";"[T0] Wardrobe Skin: Smuggler's Cloak";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Snow Leopard Cape";"UNIQUE_UNLOCK_CAPE_VANITY_SNOWLEOPARD_NON_TRADABLE";"[T0] Wardrobe Skin: Snow Leopard Cape";"";"";"";"";"";"";""
"Capes";"";"";"Wardrobe Skin: Warden's Axe";"UNIQUE_UNLOCK_CAPE_VANITY_KICKSTART_2024";"[T0] Wardrobe Skin: Warden's Axe";"";"";"";"";"";"";""
